HJD,camera,magnitude,"magnitude error"
2453901.700313,146,14.7060,0.1838
2453901.708449,146,14.7563,0.2011
2453902.691250,146,14.8231,0.1700
2453902.707685,146,14.7037,0.1600
2453903.681076,146,15.0170,0.2023
2453903.691701,146,14.9752,0.1933
2453903.699225,146,14.9011,0.1830
2453903.708322,146,14.7878,0.1764
2453904.691574,146,14.9735,0.1579
2453904.701933,146,15.0469,0.1711
2453904.713310,146,15.1139,0.2367
2453905.672431,146,16.5403,0.1165
2453905.685093,146,16.3491,0.0977
2453905.694873,146,16.3907,0.1012
2453905.707789,146,16.6572,0.1459
2453938.538414,145,14.2608,0.1009
2453938.544664,145,14.2718,0.1014
2453938.550058,145,14.3920,0.1025
2453938.555278,145,14.4593,0.1056
2453938.559931,145,14.6599,0.1198
2453938.566100,145,14.5387,0.1084
2453938.570694,145,14.7987,0.1303
2453938.573854,145,14.4174,0.1011
2453938.577083,145,14.4161,0.1055
2453938.580197,145,14.7699,0.1251
2453938.582813,145,14.4946,0.1069
2453938.585208,145,14.5203,0.1070
2453938.587477,145,14.6251,0.1133
2453938.589757,145,14.8909,0.1314
2453938.592095,145,14.4413,0.1008
2453938.594479,145,14.6573,0.1176
2453938.596725,145,14.8300,0.1220
2453938.599838,145,14.5389,0.1027
2453938.602049,145,14.7233,0.1160
2453938.605162,145,14.7581,0.1149
2453938.607396,145,14.7105,0.1103
2453938.609919,145,14.6832,0.1090
2453938.612257,145,14.8724,0.1216
2453938.615463,145,14.5494,0.0988
2453938.617743,145,14.4339,0.0924
2453938.620185,145,14.3333,0.0869
2453938.622396,145,14.3461,0.0844
2453938.624653,145,14.2460,0.0792
2453938.627037,145,14.1011,0.0725
2453938.629317,145,14.1463,0.0825
2453938.631551,145,14.0681,0.0698
2453938.633924,145,14.0931,0.0710
2453938.636910,145,14.2321,0.0737
2453938.639248,145,14.2149,0.0704
2453938.641609,145,14.2878,0.0739
2453938.643808,145,14.4218,0.0780
2453938.646019,145,14.3980,0.0772
2453938.649144,145,14.4736,0.0796
2453938.652106,145,14.3374,0.0716
2453938.654410,145,14.4518,0.0763
2453938.656736,145,14.5175,0.0795
2453938.659005,145,14.4358,0.0752
2453938.661285,145,14.4987,0.0770
2453938.663519,145,14.5483,0.0781
2453938.665694,145,14.6640,0.0846
2453938.668090,145,14.6278,0.0845
2453938.671088,145,14.5924,0.0812
2453938.673299,145,14.5712,0.0809
2453938.675532,145,14.7395,0.0888
2453938.677813,145,14.9146,0.1039
2453938.680046,145,14.6577,0.0844
2453938.682662,145,14.7298,0.0918
2453938.684931,145,14.6919,0.0923
2453938.687928,145,14.5155,0.0794
2453938.705324,145,14.8199,0.1064
2453938.707685,145,14.8122,0.1048
2453938.709896,145,14.6233,0.0935
2453938.712199,145,14.7542,0.1021
2453938.714468,145,14.7644,0.1057
2453938.716817,145,14.6909,0.1020
2453938.719144,145,14.6173,0.1027
2453938.724352,145,14.3669,0.0989
2453938.726725,145,14.2848,0.1071
2453938.728264,145,14.2070,0.1176
2453942.526944,145,14.5514,0.1196
2453942.531829,145,14.4664,0.1096
2453942.536991,145,14.5022,0.1104
2453942.541574,145,14.5060,0.1084
2453942.546366,145,14.3597,0.0968
2453942.551875,145,14.0477,0.0809
2453942.557188,145,14.1762,0.0849
2453942.561794,145,14.2155,0.0860
2453942.564884,145,14.2537,0.0893
2453942.568738,145,14.2910,0.0875
2453942.571759,145,14.3027,0.0865
2453942.574780,145,14.3429,0.0869
2453942.577801,145,14.3760,0.0887
2453942.580880,145,14.3474,0.0885
2453942.584063,145,14.5223,0.0978
2453942.587164,145,14.4884,0.0941
2453942.591088,145,14.3983,0.0863
2453942.595081,145,14.4058,0.0874
2453942.598252,145,14.4797,0.0888
2453942.601238,145,14.6230,0.1002
2453942.605023,145,14.6672,0.1025
2453942.608079,145,14.6420,0.0978
2453942.611042,145,14.5039,0.0887
2453942.614063,145,15.0048,0.1265
2453942.617130,145,14.5613,0.0903
2453942.620243,145,14.5564,0.0907
2453942.623380,145,14.8023,0.1034
2453942.627211,145,14.7636,0.1018
2453942.630139,145,14.5786,0.0891
2453942.633090,145,14.6665,0.0937
2453942.636134,145,14.6496,0.0941
2453942.640683,145,14.5912,0.0886
2453942.643704,145,14.5362,0.0852
2453942.646759,145,14.4089,0.0785
2453942.649769,145,14.3997,0.0779
2453942.652813,145,14.1082,0.0657
2453942.655880,145,14.1475,0.0665
2453942.659016,145,14.1499,0.0668
2453942.662870,145,14.1222,0.0664
2453942.665984,145,14.1343,0.0663
2453942.669005,145,14.2050,0.0661
2453942.672222,145,14.3192,0.0720
2453942.676007,145,14.2423,0.0688
2453942.679086,145,14.3539,0.0733
2453942.682859,145,14.4127,0.0767
2453942.685868,145,14.3999,0.0744
2453942.689016,145,14.5123,0.0810
2453942.706424,145,14.6967,0.0910
2453942.709688,145,14.5819,0.0856
2453942.712743,145,14.6502,0.0909
2453942.715949,145,14.9271,0.1132
2453942.718218,145,14.8664,0.1108
2453942.720486,145,14.6626,0.0990
2453942.722755,145,14.7715,0.1138
2453942.725185,145,14.5193,0.1044
2453942.727431,145,14.5437,0.1216
2453942.730035,145,14.3377,0.1252
2453942.732407,145,14.7763,0.2298
2453943.524433,145,14.5818,0.0668
2453943.529028,145,14.4806,0.0600
2453943.534722,145,14.7336,0.0766
2453943.539398,145,14.7300,0.0721
2453943.544063,145,14.7774,0.0748
2453943.549630,145,14.6851,0.0693
2453943.554780,145,14.7028,0.0710
2453943.559525,145,14.8422,0.0795
2453943.562766,145,14.6297,0.0664
2453943.566597,145,14.4595,0.0564
2453943.569583,145,14.7004,0.0705
2453943.572766,145,14.5468,0.0623
2453943.575845,145,14.5287,0.0603
2453943.578993,145,14.2630,0.0485
2453943.582130,145,14.1398,0.0447
2453943.585428,145,14.1537,0.0454
2453943.589537,145,14.2018,0.0469
2453943.593391,145,14.2357,0.0483
2453943.596539,145,14.2794,0.0495
2453943.599537,145,14.2787,0.0494
2453943.603391,145,14.3647,0.0533
2453943.606505,145,14.3766,0.0528
2453943.609537,145,14.4745,0.0566
2453943.612581,145,14.4241,0.0539
2453943.615567,145,14.4290,0.0548
2453943.618657,145,14.6228,0.0643
2453943.622442,145,14.5421,0.0600
2453943.625509,145,14.5669,0.0606
2453943.628449,145,14.7023,0.0677
2453943.631470,145,14.6158,0.0627
2453943.635428,145,14.6761,0.0652
2453943.639410,145,14.4840,0.0555
2453943.642581,145,14.6499,0.0633
2453943.645637,145,14.7459,0.0696
2453943.648785,145,14.4947,0.0552
2453943.651840,145,14.6616,0.0631
2453943.655012,145,14.6035,0.0608
2453943.658808,145,14.7033,0.0664
2453943.662882,145,14.6023,0.0634
2453943.665810,145,14.7808,0.0707
2453943.668831,145,14.6979,0.0657
2453943.672593,145,14.6544,0.0658
2453943.675671,145,14.5227,0.0585
2453943.679537,145,14.4548,0.0557
2453943.682616,145,14.3147,0.0516
2453943.685613,145,14.1998,0.0478
2453943.688623,145,14.0834,0.0436
2453943.705799,145,14.3544,0.0510
2453943.708947,145,14.2642,0.0476
2453943.711308,145,14.4788,0.0587
2453943.714398,145,14.4327,0.0591
2453943.716632,145,14.3919,0.0633
2453943.718877,145,14.4670,0.0615
2453943.721181,145,14.5736,0.0712
2453943.723426,145,14.5211,0.0715
2453943.725752,145,14.5408,0.0808
2453943.728067,145,14.6346,0.0996
2453943.730359,145,14.6290,0.1207
2453944.521597,145,14.1929,0.0477
2453944.526111,145,14.1713,0.0468
2453944.531470,145,14.3500,0.0534
2453944.536042,145,14.3882,0.0556
2453944.540683,145,14.4299,0.0564
2453944.546273,145,14.5413,0.0615
2453944.551759,145,14.5224,0.0609
2453944.556400,145,14.6081,0.0637
2453944.559734,145,14.5084,0.0589
2453944.563773,145,14.5085,0.0588
2453944.566829,145,14.7228,0.0702
2453944.570035,145,14.5029,0.0585
2453944.573113,145,14.6702,0.0654
2453944.576227,145,14.6426,0.0637
2453944.579236,145,14.6533,0.0639
2453944.582384,145,14.6672,0.0644
2453944.586331,145,14.6916,0.0651
2453944.590289,145,14.7731,0.0701
2453944.593403,145,14.7408,0.0680
2453944.596551,145,14.7250,0.0671
2453944.600405,145,14.7171,0.0659
2453944.603484,145,14.6419,0.0616
2453944.606574,145,14.6207,0.0608
2453944.609641,145,14.5830,0.0589
2453944.612650,145,14.4527,0.0523
2453944.615706,145,14.2324,0.0446
2453944.619468,145,14.0836,0.0463
2453944.622546,145,14.1274,0.0420
2453944.625509,145,14.1587,0.0430
2453944.628495,145,14.1848,0.0430
2453944.631539,145,14.1761,0.0429
2453944.636123,145,14.2896,0.0462
2453944.639109,145,14.4269,0.0519
2453944.642188,145,14.2320,0.0447
2453944.645278,145,14.3470,0.0485
2453944.648449,145,14.5363,0.0557
2453944.651597,145,14.4989,0.0555
2453944.655486,145,14.6604,0.0615
2453944.658461,145,14.5256,0.0559
2453944.661424,145,14.5693,0.0580
2453944.664468,145,14.4310,0.0513
2453944.667500,145,14.6617,0.0624
2453944.671412,145,14.5404,0.0566
2453944.674502,145,14.6175,0.0610
2453944.678299,145,14.5964,0.0592
2453944.681343,145,14.6652,0.0633
2453944.684514,145,14.6419,0.0615
2453944.687627,145,14.6696,0.0636
2453944.691435,145,14.6489,0.0627
2453944.707894,145,14.6925,0.0688
2453944.711042,145,14.4506,0.0559
2453944.713310,145,14.4065,0.0552
2453944.715556,145,14.3966,0.0571
2453944.717917,145,14.2842,0.0535
2453944.720162,145,14.2328,0.0533
2453944.722431,145,14.1019,0.0490
2453944.724664,145,14.0743,0.0514
2453944.726979,145,14.2789,0.0685
2453944.729190,145,14.2675,0.0794
2453944.732488,145,14.2122,0.1010
2453945.519549,145,14.6628,0.0762
2453945.525058,145,14.6031,0.0746
2453945.529583,145,14.6709,0.0758
2453945.534248,145,14.5357,0.0685
2453945.539132,145,14.4472,0.0617
2453945.545359,145,14.1322,0.0527
2453945.549873,145,14.1655,0.0506
2453945.554502,145,14.1372,0.0504
2453945.557743,145,14.1657,0.0499
2453945.561539,145,14.2332,0.0514
2453945.564502,145,14.2565,0.0531
2453945.567743,145,14.3842,0.0579
2453945.571030,145,14.3158,0.0544
2453945.574086,145,14.4200,0.0596
2453945.577072,145,14.4781,0.0645
2453945.580023,145,14.3825,0.0586
2453945.583924,145,14.6605,0.0713
2453945.587813,145,14.6584,0.0721
2453945.590926,145,14.5412,0.0653
2453945.594039,145,14.5326,0.0649
2453945.597870,145,14.5389,0.0638
2453945.600856,145,14.7026,0.0728
2453945.603970,145,14.5849,0.0668
2453945.606979,145,14.6648,0.0703
2453945.610000,145,14.7477,0.0750
2453945.613090,145,14.8532,0.0810
