FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 14.734 CV

CSS_J232053.7+373851 
FECHA J HELIO         MAG      +/-
----------------------------------
2458019.37694      14.887    0.013
2458019.37853      14.901    0.012
2458019.38012      14.905    0.013
2458019.38172      14.891    0.013
2458019.38331      14.915    0.012
2458019.38490      14.913    0.011
2458019.38647      14.932    0.011
2458019.38807      14.922    0.011
2458019.38967      14.930    0.012
2458019.39123      14.945    0.012
2458019.39282      14.934    0.012
2458019.39441      14.936    0.012
2458019.39600      14.925    0.011
2458019.39760      14.945    0.011
2458019.39919      14.945    0.011
2458019.40078      14.955    0.011
2458019.40237      14.943    0.011
2458019.40393      14.935    0.011
2458019.40553      14.950    0.011
2458019.40710      14.926    0.012
2458019.40866      14.925    0.012
2458019.41026      14.895    0.011
2458019.41186      14.880    0.012
2458019.41343      14.844    0.011
2458019.41500      14.838    0.011
2458019.41657      14.748    0.011
2458019.41814      14.720    0.010
2458019.41974      14.668    0.010
2458019.42130      14.593    0.009
2458019.42287      14.520    0.009
2458019.42445      14.453    0.009
2458019.42603      14.414    0.009
2458019.42760      14.426    0.009
2458019.42917      14.421    0.009
2458019.43073      14.425    0.009
2458019.43231      14.442    0.009
2458019.43390      14.459    0.009
2458019.43549      14.506    0.009
2458019.43708      14.523    0.009
2458019.43865      14.533    0.009
2458019.44022      14.565    0.009
2458019.44181      14.600    0.009
2458019.44340      14.609    0.009
2458019.44497      14.647    0.010
2458019.44656      14.650    0.010
2458019.44813      14.672    0.010
2458019.44973      14.663    0.010
2458019.45135      14.677    0.010
2458019.45291      14.723    0.010
2458019.45448      14.735    0.010
2458019.45609      14.754    0.010
2458019.45768      14.744    0.010
2458019.45924      14.762    0.010
2458019.46084      14.778    0.010
2458019.46240      14.779    0.010
2458019.46433      14.797    0.010
2458019.46593      14.807    0.010
2458019.46750      14.820    0.010
2458019.46909      14.818    0.010
2458019.47066      14.807    0.010
2458019.47223      14.843    0.010
2458019.47382      14.847    0.011
2458019.47542      14.849    0.010
2458019.47698      14.845    0.010
2458019.47858      14.871    0.010
2458019.48014      14.872    0.010
2458019.48173      14.879    0.011
2458019.48333      14.868    0.010
2458019.48490      14.881    0.011
2458019.48650      14.875    0.011
2458019.48806      14.926    0.011
2458019.48967      14.927    0.011
2458019.49125      14.943    0.011
2458019.49285      14.917    0.011
2458019.49441      14.939    0.011
2458019.49599      14.931    0.011
2458019.49759      14.947    0.011
2458019.49918      14.922    0.011
2458019.50075      14.963    0.011

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.98
