FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 11.990 CV

HD 80366 
FECHA J HELIO         MAG      +/-
----------------------------------
2457858.40772       9.261    0.003
2457858.41039       9.271    0.004
2457858.41304       9.283    0.002
2457858.41567       9.295    0.007
2457858.41832       9.306    0.001
2457858.42097       9.320    0.003
2457858.42364       9.324    0.003
2457858.42630       9.339    0.002
2457858.42898       9.348    0.005
2457858.43167       9.355    0.002
2457858.43432       9.355    0.005
2457858.43696       9.360    0.005
2457858.43962       9.359    0.003
2457858.44228       9.355    0.006
2457858.44494       9.345    0.006
2457858.44762       9.328    0.010
2457858.45028       9.310    0.009
2457858.45295       9.297    0.010
2457858.45561       9.267    0.011
2457858.45827       9.246    0.007
2457858.46090       9.231    0.003
2457858.46354       9.222    0.003
2457858.46617       9.210    0.003
2457858.46881       9.210    0.002
2457858.47146       9.223    0.005
2457858.47412       9.219    0.002
2457858.47681       9.231    0.004
2457858.47944       9.245    0.006
2457858.48206       9.264    0.007
2457858.48467       9.269    0.002
2457858.48729       9.276    0.007
2457858.48997       9.301    0.007
2457858.49262       9.304    0.005
2457858.49530       9.305    0.019
2457858.49798       9.317    0.013

Observador: F. Limon - Z50 - LFEA
FotoDif 3.98
