FOTOMETRÍA RELATIVA

KP Lyn
FECHA J HELIO         MAG      +/-
----------------------------------
2457855.36624       0.068    0.002
2457855.36749       0.049    0.002
2457855.36873       0.023    0.002
2457855.36998      -0.013    0.002
2457855.37123      -0.072    0.002
2457855.37248      -0.119    0.002
2457855.37374      -0.162    0.002
2457855.37499      -0.184    0.002
2457855.37624      -0.198    0.002
2457855.37749      -0.211    0.002
2457855.37874      -0.214    0.002
2457855.37999      -0.219    0.002
2457855.38124      -0.213    0.002
2457855.38249      -0.189    0.002
2457855.38374      -0.179    0.002
2457855.38499      -0.162    0.002
2457855.38624      -0.146    0.002
2457855.38750      -0.124    0.002
2457855.38875      -0.107    0.002
2457855.39000      -0.090    0.002
2457855.39125      -0.076    0.002
2457855.39250      -0.061    0.002
2457855.39375      -0.043    0.002
2457855.39500      -0.025    0.002
2457855.39625      -0.022    0.002
2457855.39750      -0.008    0.002
2457855.39875       0.002    0.002
2457855.39999       0.019    0.002
2457855.40124       0.039    0.002
2457855.40249       0.045    0.002
2457855.40374       0.061    0.002
2457855.40498       0.073    0.002
2457855.40623       0.083    0.002
2457855.40748       0.094    0.002
2457855.40874       0.106    0.002
2457855.40999       0.109    0.002
2457855.41124       0.123    0.002
2457855.41249       0.128    0.002
2457855.41374       0.136    0.002
2457855.41499       0.149    0.002
2457855.41624       0.152    0.002
2457855.41749       0.161    0.002
2457855.41874       0.170    0.002
2457855.42000       0.183    0.002
2457855.42125       0.180    0.002
2457855.42250       0.187    0.002
2457855.42375       0.196    0.002
2457855.42500       0.195    0.002
2457855.42625       0.203    0.002
2457855.42750       0.205    0.002
2457855.42874       0.205    0.002
2457855.42999       0.205    0.002
2457855.43123       0.200    0.002
2457855.43248       0.204    0.002
2457855.43374       0.201    0.002
2457855.43499       0.199    0.002
2457855.43624       0.190    0.002
2457855.43749       0.178    0.002
2457855.43874       0.152    0.002
2457855.43999       0.142    0.002
2457855.44124       0.120    0.002
2457855.44250       0.100    0.002
2457855.44375       0.068    0.002
2457855.44500       0.028    0.002
2457855.44627      -0.008    0.002
2457855.44752      -0.059    0.002
2457855.44877      -0.105    0.002
2457855.45002      -0.148    0.002
2457855.45127      -0.175    0.002
2457855.45253      -0.198    0.002
2457855.45378      -0.199    0.002
2457855.45503      -0.203    0.002
2457855.45628      -0.197    0.002
2457855.45753      -0.185    0.002
2457855.45878      -0.174    0.002
2457855.46004      -0.162    0.002
2457855.46129      -0.148    0.002
2457855.46254      -0.130    0.002
2457855.46379      -0.112    0.002
2457855.46504      -0.092    0.002
2457855.46630      -0.077    0.002
2457855.46755      -0.057    0.002
2457855.46880      -0.041    0.002
2457855.47005      -0.028    0.002

Observador: Juan-Luis Glez. Carballo | Obs. Cerro del Viento | MPC I84
FotoDif 3.95
