FOTOMETRÍA RELATIVA

KP LYN 
FECHA J HELIO         MAG      +/-
----------------------------------
2457856.34366       0.194    0.002
2457856.34458       0.194    0.002
2457856.34548       0.183    0.002
2457856.34637       0.184    0.002
2457856.34724       0.180    0.002
2457856.34813       0.164    0.002
2457856.34900       0.161    0.002
2457856.34987       0.143    0.002
2457856.35075       0.137    0.002
2457856.35165       0.116    0.002
2457856.35253       0.101    0.002
2457856.35341       0.083    0.002
2457856.35430       0.062    0.002
2457856.35517       0.038    0.002
2457856.35607       0.011    0.002
2457856.35700      -0.020    0.002
2457856.35787      -0.060    0.002
2457856.35873      -0.096    0.002
2457856.35960      -0.131    0.002
2457856.36047      -0.158    0.002
2457856.36135      -0.197    0.002
2457856.36222      -0.217    0.002
2457856.36309      -0.236    0.002
2457856.36399      -0.241    0.002
2457856.36486      -0.255    0.002
2457856.36572      -0.244    0.002
2457856.36659      -0.245    0.002
2457856.36746      -0.238    0.002
2457856.36834      -0.234    0.002
2457856.36922      -0.218    0.002
2457856.37009      -0.211    0.002
2457856.37097      -0.205    0.002
2457856.37184      -0.192    0.002
2457856.37271      -0.183    0.002
2457856.37358      -0.170    0.002
2457856.37446      -0.155    0.002
2457856.37534      -0.142    0.002
2457856.37621      -0.136    0.002
2457856.37710      -0.111    0.002
2457856.37797      -0.104    0.002
2457856.37884      -0.087    0.002
2457856.37971      -0.078    0.002
2457856.38063      -0.068    0.002
2457856.38150      -0.047    0.002
2457856.38238      -0.042    0.002
2457856.38325      -0.026    0.002
2457856.38413      -0.015    0.002
2457856.38503      -0.004    0.002
2457856.38592       0.005    0.002
2457856.38679       0.011    0.002
2457856.38766       0.028    0.002
2457856.38857       0.035    0.002
2457856.38944       0.046    0.002
2457856.39032       0.058    0.002
2457856.39122       0.064    0.002
2457856.39211       0.078    0.002
2457856.39298       0.079    0.002
2457856.39390       0.086    0.002
2457856.39476       0.084    0.002
2457856.39563       0.097    0.002
2457856.39650       0.107    0.002
2457856.39741       0.118    0.002
2457856.39832       0.124    0.002
2457856.39922       0.127    0.002
2457856.40009       0.137    0.002
2457856.40096       0.136    0.002
2457856.40184       0.139    0.002
2457856.40269       0.148    0.002
2457856.40356       0.161    0.002
2457856.40446       0.163    0.002
2457856.40537       0.167    0.002
2457856.40628       0.164    0.002
2457856.40719       0.180    0.002
2457856.40806       0.175    0.002
2457856.40893       0.188    0.002
2457856.40981       0.183    0.002
2457856.41068       0.183    0.002
2457856.41155       0.189    0.002
2457856.41245       0.199    0.002
2457856.41335       0.199    0.002
2457856.41422       0.198    0.002
2457856.41512       0.199    0.002
2457856.41599       0.201    0.002
2457856.41686       0.199    0.002
2457856.41777       0.206    0.002
2457856.41864       0.202    0.002
2457856.41957       0.194    0.002
2457856.42043       0.189    0.002
2457856.42133       0.189    0.002
2457856.42219       0.186    0.002
2457856.42309       0.173    0.002
2457856.42396       0.168    0.002
2457856.42490       0.162    0.002
2457856.42579       0.152    0.002
2457856.42667       0.137    0.002
2457856.42754       0.122    0.002
2457856.42842       0.106    0.002
2457856.42930       0.088    0.002
2457856.43018       0.069    0.002
2457856.43107       0.044    0.002
2457856.43196       0.023    0.002
2457856.43283      -0.018    0.002
2457856.43376      -0.055    0.002
2457856.43462      -0.078    0.002
2457856.43550      -0.106    0.002
2457856.43637      -0.140    0.002
2457856.43727      -0.179    0.002
2457856.43814      -0.196    0.002
2457856.43902      -0.207    0.002
2457856.43989      -0.226    0.002
2457856.44076      -0.240    0.002
2457856.44163      -0.230    0.002
2457856.44251      -0.232    0.002
2457856.44337      -0.213    0.002
2457856.44424      -0.216    0.002
2457856.44511      -0.205    0.002
2457856.44599      -0.195    0.002
2457856.44690      -0.191    0.002
2457856.44777      -0.182    0.002
2457856.44869      -0.163    0.002
2457856.44959      -0.151    0.002
2457856.45046      -0.142    0.002
2457856.45134      -0.131    0.002
2457856.45225      -0.113    0.002
2457856.45312      -0.107    0.002
2457856.45402      -0.091    0.002
2457856.45493      -0.079    0.002
2457856.45581      -0.061    0.002
2457856.45667      -0.054    0.002
2457856.45753      -0.048    0.002

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
