FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 11.267 CV

NSVS 2522816 
FECHA J HELIO         MAG      +/-
----------------------------------
2457864.34377      12.669    0.017
2457864.34554      12.697    0.002
2457864.34731      12.730    0.001
2457864.34911      12.761    0.010
2457864.35090      12.813    0.009
2457864.35271      12.834    0.003
2457864.35447      12.867    0.001
2457864.35620      12.894    0.003
2457864.35797      12.909    0.006
2457864.35976      12.919    0.008
2457864.36155      12.939    0.001
2457864.36336      12.952    0.005
2457864.36514      12.970    0.002
2457864.36692      12.982    0.002
2457864.36867      12.983    0.011
2457864.37045      12.993    0.001
2457864.37221      13.011    0.002
2457864.37397      13.012    0.003
2457864.37575      13.014    0.004
2457864.37756      13.025    0.013
2457864.37931      13.029    0.003
2457864.38112      13.043    0.008
2457864.38287      13.050    0.002
2457864.38467      13.044    0.003
2457864.38642      13.062    0.003
2457864.38821      13.052    0.005
2457864.38998      13.053    0.010
2457864.39179      13.055    0.002
2457864.39355      13.051    0.008
2457864.39536      13.038    0.008
2457864.39712      13.012    0.011
2457864.39890      13.011    0.020
2457864.40066      12.962    0.007
2457864.40242      12.922    0.017
2457864.40417      12.861    0.022
2457864.40591      12.801    0.011
2457864.40765      12.728    0.024
2457864.40940      12.675    0.016
2457864.41118      12.656    0.001
2457864.41300      12.671    0.003
2457864.41478      12.708    0.008
2457864.41655      12.736    0.010
2457864.41837      12.770    0.014
2457864.42014      12.809    0.004

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
