FOTOMETRÍA RELATIVA

VAR1 
FECHA J HELIO         MAG      +/-
----------------------------------
2457864.34377      -0.218    0.002
2457864.34554      -0.189    0.005
2457864.34731      -0.143    0.005
2457864.34911      -0.121    0.007
2457864.35090      -0.085    0.002
2457864.35271      -0.071    0.005
2457864.35447      -0.027    0.006
2457864.35620      -0.013    0.001
2457864.35797       0.008    0.003
2457864.35976       0.025    0.006
2457864.36155       0.038    0.007
2457864.36336       0.050    0.001
2457864.36514       0.062    0.002
2457864.36692       0.070    0.002
2457864.36867       0.083    0.009
2457864.37045       0.098    0.006
2457864.37221       0.098    0.009
2457864.37397       0.100    0.005
2457864.37575       0.114    0.005
2457864.37756       0.128    0.001
2457864.37931       0.125    0.007
2457864.38112       0.143    0.002
2457864.38287       0.144    0.004
2457864.38467       0.158    0.002
2457864.38642       0.148    0.002
2457864.38821       0.155    0.005
2457864.38998       0.150    0.004
2457864.39179       0.147    0.002
2457864.39355       0.156    0.006
2457864.39536       0.139    0.002
2457864.39712       0.109    0.017
2457864.39890       0.102    0.023
2457864.40066       0.068    0.008
2457864.40242       0.011    0.013
2457864.40417      -0.047    0.021
2457864.40591      -0.104    0.009
2457864.40765      -0.188    0.029
2457864.40940      -0.241    0.011
2457864.41118      -0.250    0.002
2457864.41300      -0.249    0.003
2457864.41478      -0.207    0.004
2457864.41655      -0.179    0.003
2457864.41837      -0.142    0.016
2457864.42014      -0.111    0.009

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
