2453131.381887       13.5616       0.1289
2453131.384769       13.4390       0.0866
2453131.387813       13.5668       0.0923
2453131.390683       13.5814       0.0929
2453131.393576       13.4787       0.0505
2453131.399387       13.4209       0.1090
2453131.402257       13.4694       0.0593
2453131.405174       13.4765       0.0697
2453131.408067       13.4874       0.0614
2453132.368009       13.3521       0.0292
2453132.370313       13.3271       0.0246
2453132.372639       13.3282       0.0223
2453132.374931       13.3442       0.0207
2453132.377257       13.3537       0.0200
2453132.379583       13.3350       0.0195
2453132.381887       13.3861       0.0204
2453132.384213       13.3696       0.0198
2453132.387095       13.3647       0.0194
2453132.390000       13.4235       0.0201
2453132.392894       13.4073       0.0206
2453132.395775       13.4122       0.0206
2453132.398669       13.4450       0.0212
2453132.401574       13.4752       0.0217
2453132.404444       13.4131       0.0206
2453132.408773       13.4775       0.0224
2453132.411655       13.4655       0.0221
2453132.414560       13.4674       0.0224
2453132.417465       13.4891       0.0238
2453132.420336       13.5230       0.0247
2453132.423252       13.5159       0.0258
2453132.426146       13.4574       0.0255
2453132.429606       13.5163       0.0292
2453132.433090       13.5560       0.0324
2453132.436563       13.4704       0.0321
2453132.440023       13.4983       0.0358
2453132.443507       13.5031       0.0380
2453132.448391       13.4927       0.0393
2453132.451863       13.5335       0.0424
2453132.455336       13.5326       0.0433
2453132.458808       13.5683       0.0456
2453132.462269       13.5087       0.0451
2453132.465775       13.3732       0.0412
2453132.469248       13.4302       0.0443
2453132.473414       13.3651       0.0422
2453132.477581       13.3779       0.0441
2453132.481736       13.3933       0.0463
2453132.487338       13.2763       0.0432
2453132.491505       13.2813       0.0445
2453132.495683       13.2552       0.0443
2453132.499838       13.3620       0.0500
2453132.504016       13.3494       0.0504
2453132.508183       13.3205       0.0504
2453828.368623       143       13.6451       0.0363
2453828.370775       143       13.5807       0.0334
2453828.373044       143       13.5929       0.0339
2453828.375382       143       13.6015       0.0341
2453828.377685       143       13.5699       0.0332
2453828.379896       143       13.5801       0.0332
2453828.382801       143       13.5411       0.0318
2453828.385880       143       13.5323       0.0315
2453828.389792       143       13.5164       0.0310
2453828.408472       143       13.3051       0.0252
2453828.412025       143       13.2907       0.0248
2453828.414942       143       13.3326       0.0257
2453828.418738       143       13.3253       0.0257
2453828.421644       143       13.2993       0.0249
2453828.425370       143       13.2852       0.0243
2453828.429074       143       13.3588       0.0262
2453828.433808       143       13.3453       0.0257
2453828.468947       143       13.5286       0.0309
2453828.490579       143       13.5859       0.0391
2453828.495127       143       13.5482       0.0302
2453828.499572       143       13.5510       0.0314
2453828.504190       143       13.6236       0.0302
2453828.510220       143       13.6010       0.0297
2453828.515579       143       13.5826       0.0320
2453828.521505       143       13.5767       0.0332
2453828.527569       143       13.5554       0.0324
2453828.532813       143       13.5996       0.0323
2453828.538900       143       13.5647       0.0293
2453828.543356       143       13.5388       0.0292
2453828.549306       143       13.5077       0.0303
2453828.554653       143       13.4756       0.0345
2453828.561539       143       13.3141       0.0444
2453828.566794       143       13.3670       0.0402
2453828.572176       143       13.3451       0.0590
2453828.577384       143       13.3080       0.0465
2453829.521007       143       13.5500       0.0299
2453829.526921       143       13.5615       0.0299
2453829.532396       143       13.6517       0.0387
2453829.537743       143       13.5994       0.0278
2453829.548495       143       13.5933       0.0265
2453829.553750       143       13.5562       0.0253
2453829.560556       143       13.5666       0.0254
2453829.565880       143       13.5640       0.0251
2453829.571250       143       13.5689       0.0250
2453829.576424       143       13.5923       0.0274
2453830.359618       143       13.2837       0.0289
2453830.364907       143       13.3404       0.0285
2453830.367164       143       13.3293       0.0281
2453830.369468       143       13.3231       0.0273
2453830.371678       143       13.3373       0.0277
2453830.373900       143       13.3453       0.0275
2453830.376794       143       13.3276       0.0271
2453830.379815       143       13.3839       0.0286
2453830.383646       143       13.4055       0.0290
2453830.386748       143       13.4213       0.0292
2453830.389745       143       13.4111       0.0289
2453830.392755       143       13.4519       0.0303
2453830.395718       143       13.4691       0.0340
2453830.399514       143       13.4927       0.0355
2453830.402442       143       13.4547       0.0401
2453830.405486       143       13.5257       0.0361
2453830.408449       143       13.4968       0.0356
2453831.368368       143       13.5147       0.0399
2453831.369826       143       13.5774       0.0587
2453831.372106       143       13.4826       0.0535
2453831.374282       143       13.4853       0.0418
2453831.376586       143       13.4300       0.0524
2453831.379722       143       13.3659       0.0432
2453831.381875       143       13.3437       0.0379
2453831.384144       143       13.3284       0.0333
2453831.386412       143       13.3573       0.0329
2453831.388634       143       13.2923       0.0321
2453831.390810       143       13.2715       0.0309
2453831.393137       143       13.3190       0.0340
2453831.395417       143       13.3294       0.0337
2453831.397627       143       13.2810       0.0408
2453831.399838       143       13.3174       0.0456
2453831.402141       143       13.2984       0.0452
2453831.404375       143       13.3361       0.0336
2453831.406528       143       13.3308       0.0337
2453831.408762       143       13.3509       0.0333
2453831.410984       143       13.3594       0.0348
2453831.413970       143       13.3497       0.0380
2453831.416933       143       13.3757       0.0447
2453831.420012       143       13.4108       0.0386
2453831.422940       143       13.4390       0.0378
2453837.357616       147       13.0151       0.0447
2453837.359850       147       13.1306       0.0481
2453837.363021       147       13.0841       0.0454
2453837.365208       147       13.0637       0.0441
2453837.367442       147       13.0845       0.0448
2453837.369595       147       13.0292       0.0424
2453837.371840       147       13.1679       0.0485
2453837.374109       147       13.1902       0.0488
2453837.376319       147       13.1945       0.0492
2453837.379363       147       13.1531       0.0467
2453837.381586       147       13.0834       0.0443
2453837.383762       147       13.2190       0.0502
2453837.385903       147       13.1918       0.0485
2453837.388090       147       13.1595       0.0465
2453837.391100       147       13.2496       0.0501
2453837.394988       147       13.3292       0.0545
2453837.397951       147       13.1529       0.0461
2453837.400845       147       13.3225       0.0536
2453837.403889       147       13.3306       0.0538
2453837.407755       147       13.3108       0.0526
2453837.410741       147       13.2934       0.0519
2453837.414664       147       13.3612       0.0551
2453837.417662       147       13.2511       0.0499
2453837.420729       147       13.3195       0.0533
2453837.423600       147       13.3608       0.0555
2453837.426586       147       13.2791       0.0505
2453837.430463       147       13.3539       0.0547
2453837.434294       147       13.4430       0.0602
2453837.437998       147       13.2994       0.0529
2453837.441701       147       13.3913       0.0571
2453837.445440       147       13.4929       0.0631
2453837.450046       147       13.3780       0.0577
2453837.450694       147       13.5562       0.0677
2453837.454456       147       13.3552       0.0564
2453837.458206       147       13.3352       0.0561
2453837.464549       147       13.3513       0.0564
2453837.468380       147       13.4485       0.0630
2453837.472234       147       13.5074       0.0662
2453837.476910       147       13.4774       0.0643
2453837.481389       147       13.3213       0.0556
2453837.485810       147       13.3227       0.0560
2453837.490324       147       13.3285       0.0576
2453837.495521       147       13.2418       0.0535
2453837.500000       147       13.1783       0.0510
2453837.504583       147       13.2327       0.0535
2453837.519016       147       13.1920       0.0540
2453837.535729       147       13.1142       0.0515
2453837.546042       147       13.2616       0.0614
2454074.621273       143       13.5510       0.2250
2454074.623634       143       13.4907       0.2150
2454074.625972       143       13.5788       0.1983
2454074.628345       143       13.3692       0.1519
2454074.630775       143       13.6346       0.1319
2454074.633102       143       13.4064       0.0965
2454074.635509       143       13.3876       0.0881
2454074.637813       143       13.5222       0.0996
2454074.640289       143       13.3547       0.0845
2454074.642697       143       13.4719       0.0921
2454074.645023       143       13.6261       0.1065
2454074.647361       143       13.5859       0.1013
2454074.649815       143       13.5685       0.1001
2454074.652188       143       13.4632       0.0902
2454074.654641       143       13.4793       0.0906
2454074.657002       143       13.5790       0.0970
2454074.659340       143       13.4714       0.0891
2454074.661736       143       13.6144       0.1003
2454074.664132       143       13.5586       0.0960
2454074.666748       143       13.5742       0.0952
2454074.669120       143       13.5154       0.0906
2454074.671470       143       13.6057       0.0964
2454074.673796       143       13.4637       0.0851
2454074.676134       143       13.5063       0.0887
2454074.678495       143       13.5801       0.0946
2454074.680926       143       13.5714       0.0933
2454074.683322       143       13.5031       0.0857
2454074.685683       143       13.5614       0.0921
2454074.688171       143       13.3715       0.0758
2454074.690694       143       13.3002       0.0722
2454074.692998       143       13.3753       0.0769
2454074.695405       143       13.3880       0.0766
2454074.697975       143       13.2335       0.0671
2454074.700370       143       13.4353       0.0802
2454074.702766       143       13.1584       0.0617
2454074.705069       143       13.3838       0.0746
2454074.707442       143       13.2021       0.0638
2454074.709815       143       13.2168       0.0647
2454074.712234       143       13.3387       0.0716
2454074.714688       143       13.2849       0.0679
2454074.717130       143       13.3118       0.0689
2454074.719653       143       13.2835       0.0668
2454074.722002       143       13.2472       0.0644
2454074.725116       143       13.2717       0.0646
2454074.728588       143       13.2808       0.0657
2454074.730914       143       13.3059       0.0665
2454074.734178       143       13.3107       0.0679
2454074.736551       143       13.3615       0.0846
2454074.738877       143       13.3877       0.0720
2454074.742083       143       13.5023       0.0794
2454074.744606       143       13.4358       0.0735
2454074.746944       143       13.3720       0.0687
2454074.758241       143       13.3346       0.0663
2454074.760544       143       13.4364       0.0727
2454074.762905       143       13.4252       0.0717
2454074.766204       143       13.4773       0.0740
2454074.768692       143       13.5629       0.0802
2454074.771065       143       13.5009       0.0754
2454074.773495       143       13.5023       0.0760
2454074.775799       143       13.4602       0.0724
2454074.779132       143       13.5022       0.0743
2454074.781644       143       13.4966       0.0755
2454074.784884       143       13.5183       0.0786
