FOTOMETRÍA RELATIVA

VAR-1 
FECHA J HELIO         MAG      +/-
----------------------------------
2457880.35957      -0.073    0.005
2457880.36114      -0.095    0.005
2457880.36272      -0.106    0.005
2457880.36432      -0.120    0.005
2457880.36590      -0.138    0.005
2457880.36748      -0.146    0.005
2457880.36907      -0.143    0.005
2457880.37065      -0.154    0.005
2457880.37223      -0.154    0.005
2457880.37381      -0.162    0.005
2457880.37538      -0.158    0.005
2457880.37695      -0.146    0.005
2457880.37852      -0.143    0.005
2457880.38012      -0.140    0.005
2457880.38171      -0.141    0.005
2457880.38328      -0.126    0.005
2457880.38485      -0.119    0.005
2457880.38644      -0.106    0.005
2457880.38800      -0.110    0.005
2457880.38958      -0.088    0.005
2457880.39114      -0.085    0.005
2457880.39274      -0.069    0.005
2457880.39435      -0.079    0.005
2457880.39593      -0.057    0.005
2457880.39752      -0.056    0.005
2457880.39913      -0.042    0.005
2457880.40070      -0.031    0.005
2457880.40229      -0.025    0.005
2457880.40386      -0.024    0.005
2457880.40545       0.001    0.005
2457880.40706       0.003    0.005
2457880.40863       0.013    0.005
2457880.41023       0.021    0.005
2457880.41181       0.024    0.005
2457880.41339       0.042    0.005
2457880.41495       0.037    0.005
2457880.41653       0.045    0.005
2457880.41811       0.057    0.005
2457880.41968       0.058    0.005
2457880.42127       0.073    0.005
2457880.42285       0.073    0.005
2457880.42443       0.082    0.005
2457880.42599       0.094    0.005
2457880.42759       0.101    0.005
2457880.42915       0.101    0.005
2457880.43071       0.113    0.005
2457880.43229       0.119    0.005
2457880.43385       0.117    0.005
2457880.43541       0.142    0.005
2457880.43700       0.137    0.005
2457880.43858       0.130    0.005
2457880.44019       0.139    0.005
2457880.44180       0.141    0.005
2457880.44337       0.171    0.005
2457880.44496       0.160    0.005
2457880.44657       0.165    0.005
2457880.44814       0.159    0.005
2457880.44973       0.172    0.005
2457880.45133       0.168    0.005

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
