FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 12.771 CV

NSVS 7467387 
FECHA J HELIO         MAG      +/-
----------------------------------
2457865.36955      13.341    0.005
2457865.37112      13.344    0.005
2457865.37269      13.355    0.005
2457865.37425      13.357    0.005
2457865.37583      13.361    0.005
2457865.37739      13.368    0.005
2457865.37898      13.371    0.005
2457865.38056      13.379    0.005
2457865.38216      13.386    0.005
2457865.38373      13.387    0.005
2457865.38532      13.391    0.005
2457865.38690      13.402    0.005
2457865.38850      13.403    0.005
2457865.39006      13.409    0.005
2457865.39165      13.409    0.005
2457865.39322      13.416    0.005
2457865.39479      13.418    0.005
2457865.39638      13.413    0.005
2457865.39795      13.426    0.005
2457865.39953      13.438    0.005
2457865.40111      13.430    0.005
2457865.40269      13.434    0.005
2457865.40427      13.442    0.005
2457865.40583      13.435    0.005
2457865.40739      13.432    0.005
2457865.40896      13.439    0.005
2457865.41053      13.430    0.005
2457865.41211      13.428    0.005
2457865.41371      13.431    0.005
2457865.41530      13.442    0.005
2457865.41689      13.432    0.005
2457865.41849      13.431    0.005
2457865.42010      13.427    0.005
2457865.42171      13.409    0.005
2457865.42328      13.405    0.005

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
