FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 14.004 CV

PT COM 
FECHA J HELIO         MAG      +/-
----------------------------------
2457905.36553      12.121    0.003
2457905.36713      12.091    0.003
2457905.36869      12.137    0.003
2457905.37027      12.133    0.003
2457905.37184      12.186    0.003
2457905.37344      12.185    0.003
2457905.37503      12.206    0.003
2457905.37662      12.190    0.003
2457905.37819      12.198    0.003
2457905.37978      12.193    0.003
2457905.38139      12.204    0.003
2457905.38295      12.194    0.003
2457905.38453      12.210    0.003
2457905.38610      12.202    0.003
2457905.38772      12.213    0.003
2457905.38930      12.196    0.003
2457905.39086      12.258    0.003
2457905.39243      12.225    0.003
2457905.39409      12.213    0.003
2457905.39568      12.193    0.003
2457905.39727      12.195    0.003
2457905.39887      12.189    0.003
2457905.40047      12.162    0.003
2457905.40204      12.167    0.003
2457905.40364      12.141    0.003
2457905.40524      12.078    0.003
2457905.40683      12.079    0.003
2457905.40842      12.061    0.003
2457905.40999      12.014    0.003
2457905.41155      12.006    0.003
2457905.41314      11.964    0.003
2457905.41474      11.936    0.003
2457905.41632      11.940    0.003
2457905.41791      11.912    0.003
2457905.41949      11.943    0.003
2457905.42107      11.923    0.003
2457905.42267      11.941    0.003
2457905.42424      11.955    0.003
2457905.42583      11.977    0.003
2457905.42742      11.992    0.003
2457905.42902      12.005    0.003
2457905.43061      12.033    0.003
2457905.43217      12.039    0.003
2457905.43374      12.059    0.003
2457905.43532      12.056    0.003
2457905.43691      12.045    0.003
2457905.43848      12.098    0.003

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
