#TYPE=Extended
#OBSCODE=LFEA
#SOFTWARE=FotoDif 3.95
#DELIM=comma
#DATE=HJD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
V398 UMA,2457893.36566,11.388,0.002,CV,NO,STD,UCAC4 724:050369,-14.818,na,na,1.028,na,X18919EK,na
V398 UMA,2457893.36728,11.432,0.002,CV,NO,STD,UCAC4 724:050369,-14.839,na,na,1.028,na,X18919EK,na
V398 UMA,2457893.36886,11.445,0.002,CV,NO,STD,UCAC4 724:050369,-14.833,na,na,1.029,na,X18919EK,na
V398 UMA,2457893.37043,11.453,0.002,CV,NO,STD,UCAC4 724:050369,-14.836,na,na,1.030,na,X18919EK,na
V398 UMA,2457893.37199,11.466,0.002,CV,NO,STD,UCAC4 724:050369,-14.829,na,na,1.031,na,X18919EK,na
V398 UMA,2457893.37357,11.484,0.002,CV,NO,STD,UCAC4 724:050369,-14.837,na,na,1.031,na,X18919EK,na
V398 UMA,2457893.37516,11.491,0.002,CV,NO,STD,UCAC4 724:050369,-14.829,na,na,1.032,na,X18919EK,na
V398 UMA,2457893.39402,11.593,0.002,CV,NO,STD,UCAC4 724:050369,-14.812,na,na,1.046,na,X18919EK,na
V398 UMA,2457893.39563,11.603,0.002,CV,NO,STD,UCAC4 724:050369,-14.822,na,na,1.047,na,X18919EK,na
V398 UMA,2457893.39719,11.620,0.002,CV,NO,STD,UCAC4 724:050369,-14.838,na,na,1.048,na,X18919EK,na
V398 UMA,2457893.39875,11.633,0.003,CV,NO,STD,UCAC4 724:050369,-14.819,na,na,1.050,na,X18919EK,na
V398 UMA,2457893.40033,11.634,0.003,CV,NO,STD,UCAC4 724:050369,-14.817,na,na,1.052,na,X18919EK,na
V398 UMA,2457893.40189,11.644,0.003,CV,NO,STD,UCAC4 724:050369,-14.812,na,na,1.053,na,X18919EK,na
V398 UMA,2457893.40348,11.647,0.003,CV,NO,STD,UCAC4 724:050369,-14.805,na,na,1.055,na,X18919EK,na
V398 UMA,2457893.40507,11.654,0.003,CV,NO,STD,UCAC4 724:050369,-14.804,na,na,1.057,na,X18919EK,na
V398 UMA,2457893.40666,11.664,0.003,CV,NO,STD,UCAC4 724:050369,-14.806,na,na,1.058,na,X18919EK,na
V398 UMA,2457893.40826,11.678,0.003,CV,NO,STD,UCAC4 724:050369,-14.801,na,na,1.060,na,X18919EK,na
V398 UMA,2457893.40985,11.661,0.003,CV,NO,STD,UCAC4 724:050369,-14.773,na,na,1.062,na,X18919EK,na
V398 UMA,2457893.41145,11.673,0.003,CV,NO,STD,UCAC4 724:050369,-14.787,na,na,1.064,na,X18919EK,na
V398 UMA,2457893.41305,11.671,0.003,CV,NO,STD,UCAC4 724:050369,-14.773,na,na,1.066,na,X18919EK,na
