FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 12.766 CV

V398 UMA 
FECHA J HELIO         MAG      +/-
----------------------------------
2457893.36566      11.388    0.002
2457893.36728      11.432    0.002
2457893.36886      11.445    0.002
2457893.37043      11.453    0.002
2457893.37199      11.466    0.002
2457893.37357      11.484    0.002
2457893.37516      11.491    0.002
2457893.39402      11.593    0.002
2457893.39563      11.603    0.002
2457893.39719      11.620    0.002
2457893.39875      11.633    0.003
2457893.40033      11.634    0.003
2457893.40189      11.644    0.003
2457893.40348      11.647    0.003
2457893.40507      11.654    0.003
2457893.40666      11.664    0.003
2457893.40826      11.678    0.003
2457893.40985      11.661    0.003
2457893.41145      11.673    0.003
2457893.41305      11.671    0.003
2457893.41464      11.668    0.003
2457893.41621      11.661    0.003
2457893.41780      11.656    0.003
2457893.41937      11.658    0.003
2457893.42095      11.649    0.003
2457893.42253      11.628    0.003
2457893.42410      11.614    0.003
2457893.42571      11.594    0.002
2457893.42731      11.549    0.002
2457893.42890      11.518    0.002
2457893.43049      11.478    0.002
2457893.43209      11.432    0.002
2457893.43368      11.374    0.002
2457893.43526      11.316    0.002
2457893.43684      11.259    0.002
2457893.43845      11.220    0.002
2457893.44007      11.208    0.002
2457893.44167      11.220    0.002
2457893.44327      11.234    0.002
2457893.44483      11.259    0.002
2457893.44643      11.270    0.002
2457893.44804      11.296    0.002
2457893.44966      11.315    0.002
2457893.45124      11.337    0.002
2457893.45283      11.349    0.002
2457893.45442      11.379    0.002
2457893.45602      11.395    0.002
2457893.45761      11.405    0.002
2457893.45917      11.427    0.002
2457893.46077      11.437    0.002
2457893.46236      11.459    0.002
2457893.46396      11.461    0.002
2457893.46554      11.482    0.002
2457893.46714      11.494    0.002
2457893.46875      11.505    0.002
2457893.47034      11.517    0.002

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.95
