FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 11.889 CV

V467 DRA
FECHA J HELIO         MAG      +/-
----------------------------------
2457936.38682      11.455    0.002
2457936.38843      11.461    0.002
2457936.38999      11.455    0.002
2457936.39160      11.453    0.002
2457936.39320      11.454    0.002
2457936.39477      11.455    0.002
2457936.39634      11.448    0.002
2457936.39794      11.449    0.002
2457936.39954      11.453    0.002
2457936.40110      11.449    0.002
2457936.40267      11.453    0.002
2457936.40426      11.449    0.002
2457936.40585      11.442    0.002
2457936.40744      11.447    0.002
2457936.40901      11.443    0.002
2457936.41057      11.440    0.002
2457936.41215      11.432    0.002
2457936.41373      11.425    0.002
2457936.41532      11.418    0.002
2457936.41688      11.418    0.002
2457936.41845      11.404    0.002
2457936.42006      11.400    0.002
2457936.42164      11.400    0.002
2457936.42322      11.385    0.002
2457936.42480      11.380    0.002
2457936.42637      11.371    0.002
2457936.42794      11.360    0.002
2457936.42952      11.347    0.002
2457936.43112      11.334    0.002
2457936.43270      11.327    0.002
2457936.43426      11.311    0.002
2457936.43584      11.300    0.002
2457936.43740      11.286    0.002
2457936.43899      11.276    0.002
2457936.44058      11.258    0.002
2457936.44217      11.251    0.002
2457936.44378      11.240    0.002
2457936.44535      11.222    0.002
2457936.44694      11.217    0.002
2457936.44851      11.205    0.002
2457936.45007      11.192    0.002
2457936.45165      11.182    0.002
2457936.45325      11.172    0.002
2457936.45483      11.161    0.002
2457936.45639      11.166    0.002
2457936.45798      11.162    0.002
2457936.45954      11.145    0.002
2457936.46110      11.151    0.002
2457936.46270      11.143    0.002
2457936.46429      11.137    0.002
2457936.46590      11.133    0.002
2457936.46748      11.127    0.002
2457936.46907      11.126    0.002
2457936.47066      11.121    0.002
2457936.47224      11.123    0.002
2457936.47381      11.122    0.002
2457936.47537      11.116    0.002
2457936.47696      11.118    0.002
2457936.47853      11.110    0.002
2457936.48013      11.115    0.002
2457936.48205      11.117    0.002
2457936.48362      11.125    0.002
2457936.48518      11.122    0.002
2457936.48676      11.123    0.002
2457936.48833      11.119    0.002
2457936.48991      11.130    0.002
2457936.49150      11.124    0.002
2457936.49308      11.135    0.002
2457936.49467      11.144    0.002
2457936.49625      11.142    0.002
2457936.49783      11.141    0.002

Observador: F. Limon - Z50 - LFEA
FotoDif 3.98
