MJD;JD;HJD;Mag;Magerr
53901,2961;2453901,796;2453901,79630;10,200;0,050
53901,29712;2453901,797;2453901,79730;10,230;0,050
53901,29815;2453901,798;2453901,79830;10,200;0,050
53901,29917;2453901,799;2453901,79930;10,210;0,050
53884,31628;2453884,816;2453884,81690;11,080;0,050
53884,32181;2453884,822;2453884,82290;11,110;0,050
53884,32724;2453884,827;2453884,82790;11,140;0,050
53884,33265;2453884,833;2453884,83390;11,150;0,050
54001,10375;2454001,604;2454001,60160;11,160;0,050
54001,10753;2454001,608;2454001,60560;11,090;0,050
54001,11131;2454001,611;2454001,60860;11,080;0,050
54001,11509;2454001,615;2454001,61260;11,050;0,050
54210,43077;2454210,931;2454210,93310;11,440;0,050
54210,43549;2454210,935;2454210,93710;11,420;0,050
54210,44015;2454210,94;2454210,94210;11,410;0,050
54210,44482;2454210,945;2454210,94710;11,350;0,050
54274,26305;2454274,763;2454274,76290;11,440;0,050
54274,26927;2454274,769;2454274,76890;11,400;0,050
54274,27555;2454274,776;2454274,77590;11,450;0,050
54274,28176;2454274,782;2454274,78190;11,420;0,050
54186,42497;2454186,925;2454186,92740;11,020;0,050
54186,42668;2454186,927;2454186,92940;10,960;0,050
54186,42835;2454186,928;2454186,93040;11,010;0,050
54186,4301;2454186,93;2454186,93240;10,890;0,050
54238,35265;2454238,853;2454238,85430;11,090;0,050
54238,35765;2454238,858;2454238,85930;11,080;0,050
54238,36259;2454238,863;2454238,86430;11,030;0,050
54238,36758;2454238,868;2454238,86930;11,020;0,050
54630,29793;2454630,798;2454630,79830;11,250;0,050
54538,48116;2454538,981;2454538,98340;10,960;0,050
54538,48164;2454538,982;2454538,98440;10,980;0,050
54538,48211;2454538,982;2454538,98440;10,920;0,050
54538,48258;2454538,983;2454538,98540;10,950;0,050
54946,38223;2454946,882;2454946,88400;11,020;0,050
54946,38856;2454946,889;2454946,89100;11,050;0,050
54946,39492;2454946,895;2454946,89700;11,090;0,050
54946,40129;2454946,901;2454946,90300;11,130;0,050
55045,17324;2455045,673;2455045,67140;11,000;0,050
55045,17723;2455045,677;2455045,67540;10,950;0,050
55045,18122;2455045,681;2455045,67940;10,880;0,050
55045,18516;2455045,685;2455045,68340;10,850;0,050
55018,1994;2455018,699;2455018,69840;11,210;0,050
55018,20338;2455018,703;2455018,70240;11,170;0,050
55018,20738;2455018,707;2455018,70640;11,220;0,050
55018,21135;2455018,711;2455018,71040;11,270;0,050
55006,32521;2455006,825;2455006,82490;11,210;0,050
55006,33008;2455006,83;2455006,82990;11,190;0,050
55006,33475;2455006,835;2455006,83490;11,230;0,050
55006,33962;2455006,84;2455006,83990;11,240;0,050
55298,44328;2455298,943;2455298,94530;11,030;0,050
55298,449;2455298,949;2455298,95130;11,040;0,050
55298,45481;2455298,955;2455298,95730;10,980;0,050
55298,46066;2455298,961;2455298,96330;10,960;0,050
55360,28049;2455360,78;2455360,78030;11,300;0,050
55360,28717;2455360,787;2455360,78730;11,270;0,050
55360,2939;2455360,794;2455360,79430;11,230;0,050
55360,30068;2455360,801;2455360,80130;11,160;0,050
55327,40648;2455327,906;2455327,90760;11,240;0,050
55327,41227;2455327,912;2455327,91360;11,290;0,050
55327,41809;2455327,918;2455327,91960;11,300;0,050
55327,42391;2455327,924;2455327,92560;11,280;0,050
55653,38224;2455653,882;2455653,88440;11,030;0,050
55653,38924;2455653,889;2455653,89140;11,070;0,050
55653,39628;2455653,896;2455653,89840;11,070;0,050
55653,40326;2455653,903;2455653,90540;11,150;0,050
55722,28308;2455722,783;2455722,78350;11,280;0,050
55722,28996;2455722,79;2455722,79050;11,210;0,050
55722,29693;2455722,797;2455722,79750;11,150;0,050
55722,30394;2455722,804;2455722,80450;11,110;0,050
55682,35396;2455682,854;2455682,85590;10,610;0,050
55682,35425;2455682,854;2455682,85590;10,610;0,050
55682,35451;2455682,855;2455682,85690;10,600;0,050
55682,3548;2455682,855;2455682,85690;10,600;0,050
55682,38777;2455682,888;2455682,88990;10,910;0,050
55682,39302;2455682,893;2455682,89490;10,930;0,050
55682,39822;2455682,898;2455682,89990;10,960;0,050
55682,40341;2455682,903;2455682,90490;10,940;0,050
56076,28415;2456076,784;2456076,78490;11,380;0,050
56076,29012;2456076,79;2456076,79090;11,380;0,050
56076,29614;2456076,796;2456076,79690;11,300;0,050
56076,3021;2456076,802;2456076,80290;11,290;0,050
56092,31053;2456092,811;2456092,81130;11,310;0,050
56092,31775;2456092,818;2456092,81830;11,350;0,050
56092,32504;2456092,825;2456092,82530;11,370;0,050
56092,33237;2456092,832;2456092,83230;11,430;0,050
56126,21473;2456126,715;2456126,71390;11,190;0,050
56126,22036;2456126,72;2456126,71890;11,210;0,050
56126,22597;2456126,726;2456126,72490;11,170;0,050
56126,23163;2456126,732;2456126,73090;11,150;0,050
56375,36798;2456375,868;2456375,87040;11,150;0,050
56375,37413;2456375,874;2456375,87640;11,160;0,050
56375,38039;2456375,88;2456375,88240;11,080;0,050
56375,38666;2456375,887;2456375,88940;11,100;0,050
56400,39743;2456400,897;2456400,89910;11,330;0,050
56400,40195;2456400,902;2456400,90410;11,300;0,050
56400,40643;2456400,906;2456400,90810;11,260;0,050
56400,41101;2456400,911;2456400,91310;11,230;0,050
56441,28854;2456441,789;2456441,78990;11,450;0,050
56441,29468;2456441,795;2456441,79590;11,470;0,050
56441,30727;2456441,807;2456441,80790;11,460;0,050
56471,19892;2456471,699;2456471,69870;11,120;0,050
56471,20565;2456471,706;2456471,70570;11,110;0,050
56471,21241;2456471,712;2456471,71170;11,010;0,050
56471,21916;2456471,719;2456471,71870;10,860;0,050
