FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 13.528 CV

V547 LAC 
FECHA J HELIO         MAG      +/-
----------------------------------
2458012.35304      12.288    0.003
2458012.35464      12.293    0.003
2458012.35620      12.309    0.003
2458012.35779      12.319    0.003
2458012.35937      12.319    0.003
2458012.36093      12.333    0.003
2458012.36253      12.337    0.003
2458012.36410      12.342    0.003
2458012.36568      12.355    0.003
2458012.36726      12.363    0.003
2458012.36884      12.369    0.003
2458012.37042      12.375    0.003
2458012.37201      12.378    0.003
2458012.37361      12.373    0.003
2458012.37517      12.370    0.003
2458012.37674      12.377    0.003
2458012.37832      12.371    0.003
2458012.37991      12.372    0.003
2458012.38150      12.356    0.003
2458012.38308      12.351    0.003
2458012.38467      12.336    0.003
2458012.38626      12.327    0.003
2458012.38784      12.316    0.003
2458012.38942      12.290    0.003
2458012.39098      12.277    0.003
2458012.39259      12.259    0.003
2458012.39415      12.238    0.003
2458012.39573      12.205    0.003
2458012.39732      12.184    0.003
2458012.39889      12.151    0.003
2458012.40047      12.128    0.003
2458012.40204      12.090    0.003
2458012.40363      12.071    0.003
2458012.40519      12.045    0.003
2458012.40679      12.020    0.003
2458012.40836      12.003    0.003
2458012.40992      11.998    0.003
2458012.41152      12.005    0.003
2458012.41311      12.000    0.003
2458012.41470      12.012    0.003
2458012.41631      12.024    0.003
2458012.41790      12.041    0.003
2458012.41948      12.059    0.003
2458012.42108      12.076    0.003
2458012.42264      12.095    0.003
2458012.42423      12.110    0.003
2458012.42582      12.120    0.003
2458012.42739      12.145    0.003
2458012.42899      12.150    0.003
2458012.43056      12.166    0.003
2458012.43215      12.187    0.003
2458012.43372      12.189    0.003
2458012.43528      12.207    0.003
2458012.43686      12.214    0.003
2458012.43847      12.220    0.003
2458012.44006      12.232    0.003
2458012.44164      12.252    0.003
2458012.44322      12.251    0.003
2458012.44481      12.263    0.003
2458012.44638      12.265    0.003
2458012.44797      12.278    0.003
2458012.44957      12.286    0.003
2458012.45114      12.293    0.003
2458012.45270      12.302    0.003
2458012.45430      12.318    0.003
2458012.45589      12.323    0.003
2458012.45747      12.339    0.003
2458012.45906      12.336    0.003
2458012.46067      12.346    0.003
2458012.46226      12.357    0.003
2458012.46382      12.361    0.003
2458012.46540      12.371    0.003
2458012.46698      12.368    0.003
2458012.46856      12.372    0.003

Observador: Obs. Mazariegos - F. Limon - AAVSO LFEA
FotoDif 3.98
