MJD;JD;HJD;Mag;Magerr
53481,45723;2453481,957;2453481,9535;11,87;0,05
53481,46119;2453481,961;2453481,9574;11,87;0,05
53481,46516;2453481,965;2453481,9614;11,92;0,05
53481,46915;2453481,969;2453481,9654;11,95;0,05
53734,10935;2453734,609;2453734,6089;11,98;0,05
53734,1153;2453734,615;2453734,6148;12,02;0,05
53734,12124;2453734,621;2453734,6208;11,96;0,05
53734,12717;2453734,627;2453734,6267;11,91;0,05
53694,12646;2453694,626;2453694,6288;11,79;0,05
53694,13593;2453694,636;2453694,6383;11,77;0,05
53694,1448;2453694,645;2453694,6472;11,85;0,05
53694,15322;2453694,653;2453694,6556;11,91;0,05
53668,10736;2453668,607;2453668,6110;12;0,05
53668,11602;2453668,616;2453668,6197;11,91;0,05
53668,12473;2453668,625;2453668,6284;11,83;0,05
53668,1335;2453668,634;2453668,6372;11,82;0,05
53674,15756;2453674,658;2453674,6610;12,03;0,05
53674,16476;2453674,665;2453674,6682;12,05;0,05
53674,17214;2453674,672;2453674,6756;12,06;0,05
53674,17942;2453674,679;2453674,6828;12,08;0,05
53746,07033;2453746,57;2453746,5690;12,07;0,05
53746,07947;2453746,579;2453746,5781;12,05;0,05
53746,08864;2453746,589;2453746,5873;12,08;0,05
53746,09778;2453746,598;2453746,5964;12,11;0,05
54040,12182;2454040,622;2454040,6252;12,17;0,05
54040,12689;2454040,627;2454040,6303;12,16;0,05
54040,13206;2454040,632;2454040,6355;12,18;0,05
54040,13725;2454040,637;2454040,6406;12,23;0,05
54059,08001;2454059,58;2454059,5824;11,98;0,05
54059,08452;2454059,585;2454059,5869;12,03;0,05
54059,08912;2454059,589;2454059,5915;12,03;0,05
54059,09389;2454059,594;2454059,5963;11,86;0,05
54010,20077;2454010,701;2454010,7050;11,83;0,05
54010,20653;2454010,707;2454010,7108;11,95;0,05
54010,21243;2454010,712;2454010,7167;11,98;0,05
54010,21848;2454010,718;2454010,7227;12,07;0,05
54012,18046;2454012,68;2454012,6847;11,94;0,05
54012,18317;2454012,683;2454012,6874;11,9;0,05
54012,18588;2454012,686;2454012,6901;11,88;0,05
54012,18858;2454012,689;2454012,6928;11,86;0,05
54453,17927;2454453,679;2454453,6797;12,12;0,05
54453,18372;2454453,684;2454453,6841;12,09;0,05
54453,18815;2454453,688;2454453,6885;12,12;0,05
54453,19256;2454453,693;2454453,6929;12,07;0,05
54586,44386;2454586,944;2454586,9405;12,13;0,05
54586,44883;2454586,949;2454586,9454;12,1;0,05
54586,45384;2454586,954;2454586,9504;12,15;0,05
54586,45881;2454586,959;2454586,9554;12,17;0,05
54803,14056;2454803,641;2454803,6420;12;0,05
54803,14589;2454803,646;2454803,6474;12;0,05
54803,15124;2454803,651;2454803,6527;12,02;0,05
54803,1566;2454803,657;2454803,6581;12,04;0,05
54803,16193;2454803,662;2454803,6634;12,02;0,05
54746,2555;2454746,756;2454746,7597;11,64;0,05
54746,26198;2454746,762;2454746,7661;11,73;0,05
54746,2684;2454746,768;2454746,7726;11,74;0,05
54746,27485;2454746,775;2454746,7790;11,77;0,05
54770,11734;2454770,617;2454770,6208;12;0,05
54770,12397;2454770,624;2454770,6274;11,86;0,05
54770,13054;2454770,631;2454770,6340;11,71;0,05
54770,13726;2454770,637;2454770,6407;11,6;0,05
54733,13372;2454733,634;2454733,6380;11,95;0,05
54733,13975;2454733,64;2454733,6440;11,96;0,05
54733,14585;2454733,646;2454733,6501;11,98;0,05
54733,15195;2454733,652;2454733,6562;11,99;0,05
55062,37072;2455062,871;2455062,8742;11,93;0,05
55062,37784;2455062,878;2455062,8813;11,81;0,05
55062,39249;2455062,892;2455062,8960;11,78;0,05
55062,3995;2455062,9;2455062,9030;11,83;0,05
55121,10637;2455121,606;2455121,6103;12,12;0,05
55121,11363;2455121,614;2455121,6176;12,1;0,05
55121,12094;2455121,621;2455121,6249;12,14;0,05
55121,1283;2455121,628;2455121,6322;12,13;0,05
55121,13555;2455121,636;2455121,6395;12,08;0,05
55086,25389;2455086,754;2455086,7581;11,86;0,05
55086,25582;2455086,756;2455086,7600;11,94;0,05
55086,25842;2455086,758;2455086,7626;11,84;0,05
55086,27268;2455086,773;2455086,7768;11,85;0,05
55857,20884;2455857,709;2455857,7126;11,75;0,05
55857,21676;2455857,717;2455857,7205;11,91;0,05
55857,22479;2455857,725;2455857,7286;11,96;0,05
55857,23273;2455857,733;2455857,7365;12,02;0,05
55825,17654;2455825,677;2455825,6808;12,09;0,05
55825,18267;2455825,683;2455825,6869;12,02;0,05
55825,18882;2455825,689;2455825,6931;11,9;0,05
55825,1951;2455825,695;2455825,6994;11,78;0,05
55868,07125;2455868,571;2455868,5746;11,84;0,05
55868,07745;2455868,577;2455868,5808;11,9;0,05
55868,08372;2455868,584;2455868,5870;11,95;0,05
55868,08987;2455868,59;2455868,5932;11,98;0,05
55928,11077;2455928,611;2455928,6101;12,03;0,05
55928,11533;2455928,615;2455928,6147;12,05;0,05
55928,1199;2455928,62;2455928,6192;12,05;0,05
55928,12452;2455928,625;2455928,6239;12,04;0,05
56204,291;2456204,791;2456204,7952;12,21;0,05
56204,29828;2456204,798;2456204,8025;12,14;0,05
56204,3056;2456204,806;2456204,8098;12,1;0,05
56204,31294;2456204,813;2456204,8171;12,05;0,05
56541,18529;2456541,685;2456541,6893;11,87;0,05
56541,19205;2456541,692;2456541,6961;11,93;0,05
56541,19881;2456541,699;2456541,7029;11,96;0,05
56541,20554;2456541,706;2456541,7096;12,04;0,05
56591,20427;2456591,704;2456591,7079;11,96;0,05
56591,21292;2456591,713;2456591,7166;11,99;0,05
56591,22159;2456591,722;2456591,7252;12,03;0,05
56591,23026;2456591,73;2456591,7339;12,01;0,05
